GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE164595,GM12878,CRISPRi,TRIM28,?,GSM5014652;GSM5014653,GSM5014640;GSM5014641
GSE164595,IMR90,CRISPRi,XIST,?,GSM5014658;GSM5014659,GSM5014656;GSM5014657
GSE166429,HFF-1,shRNA,COX4I1,?,GSM5071125;GSM5071126;GSM5071127;GSM5071128;GSM5071129,GSM5071120;GSM5071121;GSM5071122;GSM5071123;GSM5071124
GSE167197,oenocytes,siRNA,PEX5,?,GSM5098898;GSM5098899;GSM5098900,GSM5098895;GSM5098896;GSM5098897
GSE167197,oenocytes,Overexpression,PEX5 C11A mutant,?,GSM5098904;GSM5098905;GSM5098906,GSM5098901;GSM5098902;GSM5098903
GSE44461,HCA-SMCs,siRNA,TCF21,?,GSM1085739;GSM1085740;GSM1085741,GSM1085736;GSM1085737;GSM1085738
GSE46056,human primary CD34+,shRNA,PRMT4,?,GSM1122676;GSM1122677;GSM1122678,GSM1122673;GSM1122674;GSM1122675
GSE51878,HCASMC,shRNA,SENCR,?,GSM1254457;GSM1254458;GSM1254459,GSM1254460;GSM1254461;GSM1254462
GSE54846,IMR-90,shRNA,MACROH2A1,?,GSM1325077;GSM1325078;GSM1325079,GSM1325074;GSM1325075;GSM1325076
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EED,?,GSM1427141;GSM1427142;GSM1427143,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EZH1,?,GSM1427135;GSM1427136;GSM1427137,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EZH2,?,GSM1427138;GSM1427139;GSM1427140,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,SUZ12,?,GSM1427144;GSM1427145;GSM1427146,GSM1427132;GSM1427133;GSM1427134
GSE60217,Huvec,siRNA,ADAR1,?,GSM2033144;GSM2033145;GSM2033146,GSM2033141;GSM2033142;GSM2033143
GSE60217,Huvec + Hypoxia,siRNA,ADAR1,?,GSM2033150;GSM2033151;GSM2033152,GSM2033147;GSM2033148;GSM2033149
GSE60664,low passage primary melanoma cultures,shRNA,TEAD1/2/3/4,?,GSM1484332;GSM1484333;GSM1484334,GSM1484329;GSM1484330;GSM1484331
GSE61491,NPCs,shRNA,CHD8,?,GSM1506106;GSM1506107,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506108;GSM1506109,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506110;GSM1506111,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506112;GSM1506113,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506114;GSM1506115,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506116;GSM1506117,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506118;GSM1506119,GSM1506122;GSM1506123
GSE61794,MSC,shRNA,PTEN,?,GSM1513910;GSM1513911,GSM1513908;GSM1513909
GSE61794,NSCs,shRNA,PTEN,?,GSM1513906;GSM1513907,GSM1513904;GSM1513905
GSE62974,HUVEC,siRNA,EPAS1,?,GSM1537576;GSM1537577;GSM1537578,GSM1537573;GSM1537574;GSM1537575
GSE62982,ECs,shRNA,PPARY,?,GSM1537607;GSM1537608;GSM1537609,GSM1537603;GSM1537604;GSM1537605;GSM1537606
GSE67382,primary human neonatal keratinocytes,siRNA,BAF,?,GSM1921006;GSM1921007,GSM1921004;GSM1921005
GSE67382,primary human neonatal keratinocytes,siRNA,TP63,?,GSM1921008;GSM1921009,GSM1921004;GSM1921005
GSE68323,Primary Skeletal Muscle Cells,siRNA,VDR,?,GSM1668427;GSM1668429;GSM1668431;GSM1668433,GSM1668419;GSM1668421;GSM1668423;GSM1668425
GSE68323,Primary Skeletal Muscle Cells + Ethanol,siRNA,VDR,?,GSM1668426;GSM1668428;GSM1668430;GSM1668432,GSM1668418;GSM1668420;GSM1668422;GSM1668424
