"","gene"
"879","ENSG00000161203"
"880","ENSG00000042753"
"881","ENSG00000132842"
"882","ENSG00000103723"
"883","ENSG00000065000"
"884","ENSG00000185009"
"885","ENSG00000070718"
"886","ENSG00000177879"
"887","ENSG00000157823"
"888","ENSG00000134262"
"889","ENSG00000081014"
"890","ENSG00000221838"
"891","ENSG00000100478"
"892","ENSG00000254470"
"893","ENSG00000053770"
"894","ENSG00000125843"
"895","ENSG00000242802"
"896","ENSG00000120868"
"897","ENSG00000276497"
"898","ENSG00000276495"
"899","ENSG00000011132"
"900","ENSG00000166313"
"901","ENSG00000077420"
"902","ENSG00000163697"
"903","ENSG00000113108"
"904","ENSG00000134982"
"905","ENSG00000115266"
"906","ENSG00000154856"
"907","ENSG00000198768"
"908","ENSG00000132703"
"909","ENSG00000164062"
"910","ENSG00000248329"
"911","ENSG00000291796"
"912","ENSG00000169188"
"913","ENSG00000117362"
"914","ENSG00000138613"
"915","ENSG00000166181"
"916","ENSG00000149089"
"917","ENSG00000169621"
"918","ENSG00000171388"
"919","ENSG00000134817"
"920","ENSG00000105290"
"921","ENSG00000084234"
"922","ENSG00000101474"
"923","ENSG00000118137"
"924","ENSG00000158874"
"925","ENSG00000110244"
"926","ENSG00000110243"
"927","ENSG00000291544"
"928","ENSG00000124701"
"929","ENSG00000262156"
"930","ENSG00000179750"
"931","ENSG00000244509"
"932","ENSG00000243811"
"933","ENSG00000128394"
"934","ENSG00000239713"
"935","ENSG00000100298"
"936","ENSG00000173627"
"937","ENSG00000184730"
"938","ENSG00000130208"
"939","ENSG00000214855"
"940","ENSG00000234906"
"941","ENSG00000110245"
"942","ENSG00000267467"
"943","ENSG00000224916"
"944","ENSG00000189058"
"945","ENSG00000130203"
"946","ENSG00000175336"
"947","ENSG00000091583"
"948","ENSG00000100342"
"949","ENSG00000128335"
"950","ENSG00000128284"
"951","ENSG00000100336"
"952","ENSG00000221963"
"953","ENSG00000178878"
"954","ENSG00000204444"
"955","ENSG00000184831"
"956","ENSG00000155008"
"957","ENSG00000142192"
"958","ENSG00000062725"
"959","ENSG00000157500"
"960","ENSG00000136044"
"961","ENSG00000198931"
"962","ENSG00000137074"
"963","ENSG00000240583"
"964","ENSG00000143595"
"965","ENSG00000178301"
"966","ENSG00000185176"
"967","ENSG00000167580"
"968","ENSG00000165272"
"969","ENSG00000171885"
"970","ENSG00000161798"
"971","ENSG00000086159"
"972","ENSG00000165269"
"973","ENSG00000186466"
"974","ENSG00000103375"
"975","ENSG00000103569"
"976","ENSG00000021776"
"977","ENSG00000169083"
"978","ENSG00000078061"
"979","ENSG00000186635"
"980","ENSG00000047365"
"981","ENSG00000120318"
"982","ENSG00000198576"
"983","ENSG00000095139"
"984","ENSG00000109321"
"985","ENSG00000119682"
"986","ENSG00000143761"
"987","ENSG00000213137"
"988","ENSG00000134287"
"989","ENSG00000168374"
"990","ENSG00000004059"
"991","ENSG00000165527"
"992","ENSG00000101199"
"993","ENSG00000149182"
"994","ENSG00000242247"
"995","ENSG00000066777"
"996","ENSG00000124198"
"997","ENSG00000112379"
"998","ENSG00000164144"
"999","ENSG00000132254"
"1000","ENSG00000101246"
"1001","ENSG00000118520"
"1002","ENSG00000081181"
"1003","ENSG00000186103"
"1004","ENSG00000240058"
"1005","ENSG00000265293"
"1006","ENSG00000134884"
"1007","ENSG00000175220"
"1008","ENSG00000071205"
"1009","ENSG00000275568"
"1010","ENSG00000274734"
"1011","ENSG00000165322"
"1012","ENSG00000075884"
"1013","ENSG00000288353"
"1014","ENSG00000146376"
"1015","ENSG00000213390"
"1016","ENSG00000269891"
"1017","ENSG00000137727"
"1018","ENSG00000107863"
"1019","ENSG00000128805"
"1020","ENSG00000273780"
"1021","ENSG00000260781"
"1022","ENSG00000138639"
"1023","ENSG00000163219"
"1024","ENSG00000145819"
"1025","ENSG00000276907"
"1026","ENSG00000088756"
"1027","ENSG00000137962"
"1028","ENSG00000186517"
"1029","ENSG00000031081"
"1030","ENSG00000134909"
"1031","ENSG00000004777"
"1032","ENSG00000160007"
"1033","ENSG00000147256"
"1034","ENSG00000147799"
"1035","ENSG00000089820"
"1036","ENSG00000124143"
"1037","ENSG00000165895"
"1038","ENSG00000258080"
"1039","ENSG00000258233"
"1040","ENSG00000006740"
"1041","ENSG00000180448"
"1042","ENSG00000100852"
"1043","ENSG00000047648"
"1044","ENSG00000241484"
"1045","ENSG00000123329"
"1046","ENSG00000141522"
"1047","ENSG00000111348"
"1048","ENSG00000242173"
"1049","ENSG00000076928"
"1050","ENSG00000274726"
"1051","ENSG00000074964"
"1052","ENSG00000132694"
"1053","ENSG00000196914"
"1054","ENSG00000198844"
"1055","ENSG00000130762"
"1056","ENSG00000110237"
"1057","ENSG00000104880"
"1058","ENSG00000291381"
"1059","ENSG00000116584"
"1060","ENSG00000240771"
"1061","ENSG00000114790"
"1062","ENSG00000214944"
"1063","ENSG00000163947"
"1064","ENSG00000214694"
"1065","ENSG00000204959"
"1066","ENSG00000288422"
